model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
voter_zealots,50,15,15,0,30,0.6,35,40,1.05,0.95,21,40,0.01829476100010652,0.013843703000020469,0.03229296500012424,0.9999807723743751,0.9969121741839801,0.999999999999999,0.5805348828845817,0.41946511711541723,0.0,0.0,0.0,0.0,1.0664434570455323,ok,
voter_contrarians,50,0,0,30,30,0.6,35,40,1.05,0.95,651,3656,0.019468610000330955,0.03161814199938817,0.05118729600053484,0.9999999922146234,0.9999999992902177,1.0000000000000007,0.4888934813950787,0.5111065186049213,0.0,0.0,0.0,0.0,0.33539148618438597,ok,
crossinh_zealots,50,15,15,0,30,0.6,35,40,1.05,0.95,231,840,0.017094507999900088,0.01862380399961694,0.03580132800016145,0.9888889595899274,0.7660639323688734,0.9999960124185107,0.644718025111103,0.3552779873074087,0.0,0.0,0.0,0.0,3.1824004520776596,ok,
crossinh_contrarians,50,0,0,30,30,0.6,35,40,1.05,0.95,7161,51958,0.049679022999953304,0.17996613699961017,0.22992675400018925,0.9999861119927406,0.9999950667039404,1.0000000000000007,0.4771788090707317,0.5228211909292682,0.0,0.0,0.0,0.0,0.38945446830858016,ok,
voter_zealots,80,0,0,0,0,0.0,35,40,1.05,0.95,81,160,0.014747956000064733,0.011231007999413123,0.02605777600001602,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
voter_contrarians,80,0,0,0,0,0.0,35,40,1.05,0.95,81,160,0.017128139000305964,0.011667202999888104,0.02888884300045902,0.9913659613399313,0.6643106701825945,1.0000000000000007,0.5987678647298953,0.40123213527010254,0.9124138438102227,0.012920816738363955,0.8149987876080845,0.012920816738363955,0.39569224546642306,ok,
crossinh_zealots,80,0,0,0,0,0.0,35,40,1.05,0.95,3320,12642,0.022738349000064773,0.14620800400007283,0.16910578599981818,0.7770463572993047,0.239290391070388,0.9999929829386298,0.7631886388911419,0.23680434404748885,0.7745966774584702,0.22541861926537907,0.7745945587880576,0.2253856302333706,4.4883153143436765,ok,
crossinh_contrarians,80,0,0,0,0,0.0,35,40,1.05,0.95,3320,12642,0.028969957000299473,0.1326805280004919,0.16183756000009453,0.7770463572993047,0.239290391070388,0.9999929829386298,0.7631886388911419,0.23680434404748885,0.7745966774584702,0.22541861926537907,0.7745945587880576,0.2253856302333706,4.4883153143436765,ok,
voter_zealots,80,4,4,0,8,0.1,35,40,1.05,0.95,73,144,0.01562994100004289,0.008243481999670621,0.023947642000166525,0.9997540156510583,0.819824122726109,0.9999999999999977,0.5994378704565203,0.4005621295434775,0.0,0.0,0.0,0.0,0.4458411187155096,ok,
voter_contrarians,80,0,0,8,8,0.1,35,40,1.05,0.95,657,3468,0.020788831000572827,0.0323652580000271,0.053323934999752964,0.9999678812050738,0.9593364450417989,1.0,0.5801005017876081,0.4198994982123921,0.0,0.0,0.0,0.0,0.4059397642573631,ok,
crossinh_zealots,80,4,4,0,8,0.1,35,40,1.05,0.95,2701,10512,0.029454053999870666,0.10532658099964465,0.13494315200023266,0.8023274841260086,0.22900163606300808,0.9999568898780099,0.7748272079852144,0.2251296818927941,0.7986024540343037,0.20125103990003052,0.7985743354336989,0.20103133671366144,4.84842759104889,ok,
