model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,100,3,3,0,6,0.06,35,10,1.05,0.95,115,4310,0.9577777777777777,0.9493584077030223,0.9648492205003124,127,0.02822222222222222,0.022524615945853775,0.03530897887177753,4353,0.9673333333333334,0.9597899490377235,0.9735006539290789,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,20,1.05,0.95,115,3906,0.868,0.8544590526620959,0.8804573707867984,18,0.004,0.0022006727447473205,0.0072597999980473435,3918,0.8706666666666667,0.8572336563555331,0.8830082484227012,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,30,1.05,0.95,115,3418,0.7595555555555555,0.7427714576397988,0.7755753917492765,7,0.0015555555555555555,0.0006085815943231792,0.003970199929909988,3423,0.7606666666666667,0.7439068571386908,0.7766589428042762,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,40,1.05,0.95,115,2862,0.636,0.6173370539512407,0.6542624938450897,1,0.00022222222222222223,2.6090640811303424e-05,0.001889950218751958,2863,0.6362222222222222,0.617561357556453,0.6544819803506557,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,60,1.05,0.95,115,2067,0.4593333333333333,0.440271711819967,0.47851469790760076,0,0.0,0.0,0.0014722507487849438,2067,0.4593333333333333,0.440271711819967,0.47851469790760076,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,3,3,0,6,0.06,35,80,1.05,0.95,115,1524,0.33866666666666667,0.3207438288988178,0.3570645506761235,0,0.0,0.0,0.0014722507487849438,1524,0.33866666666666667,0.3207438288988178,0.3570645506761235,4500,0.99,0,13373390650338008497,86.51857183600077,ok,
voter_zealots,100,5,5,0,10,0.1,35,0,1.05,0.95,115,4499,0.9997777777777778,0.998110049781248,0.9999739093591887,3417,0.7593333333333333,0.7425443959295335,0.7753586633487632,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,5,1.05,0.95,115,4371,0.9713333333333334,0.9641992118106577,0.9770796131501545,373,0.08288888888888889,0.0729060409498446,0.09409992111925289,4434,0.9853333333333333,0.9799511602397324,0.9892864417001137,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,10,1.05,0.95,115,4072,0.9048888888888889,0.8930204985475779,0.915565083290517,96,0.021333333333333333,0.01644925790124488,0.02762684348225857,4111,0.9135555555555556,0.9021468368419417,0.9237465593165076,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,20,1.05,0.95,115,3128,0.6951111111111111,0.6771575332992236,0.7124901839641394,5,0.0011111111111111111,0.0003713240638206173,0.0033198772388559157,3132,0.696,0.6780595842774058,0.7133632934290706,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,30,1.05,0.95,115,2200,0.4888888888888889,0.4697250179451587,0.5080854765159253,0,0.0,0.0,0.0014722507487849438,2200,0.4888888888888889,0.4697250179451587,0.5080854765159253,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,40,1.05,0.95,115,1475,0.3277777777777778,0.31001857846017833,0.34604408568662537,0,0.0,0.0,0.0014722507487849438,1475,0.3277777777777778,0.31001857846017833,0.34604408568662537,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,60,1.05,0.95,115,676,0.15022222222222223,0.13701836001941975,0.16445600561550805,0,0.0,0.0,0.0014722507487849438,676,0.15022222222222223,0.13701836001941975,0.16445600561550805,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,5,5,0,10,0.1,35,80,1.05,0.95,115,307,0.06822222222222223,0.05916295722358262,0.07855285753414591,0,0.0,0.0,0.0014722507487849438,307,0.06822222222222223,0.05916295722358262,0.07855285753414591,4500,0.99,0,17327958252978776581,97.97466168701067,ok,
voter_zealots,100,8,8,0,16,0.16,35,0,1.05,0.95,115,4499,0.9997777777777778,0.998110049781248,0.9999739093591887,3799,0.8442222222222222,0.829791573284962,0.8576393083106523,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,6174620964146653080,104.08841424199636,ok,
